Date,Temp,total_precip,rain_avg_year,Sun,sun_avg_year
10/19/2016,17.27,0.2,4.12,5.31,4.93
10/20/2016,16.38,2.78,4.11,5.01,4.91
10/21/2016,13.50,1.06,4.11,3.61,4.87
10/22/2016,13.31,8.01,4.11,1.75,4.83
10/23/2016,13.59,2.35,4.11,2.53,4.78
10/24/2016,11.94,0.46,4.08,6.94,4.74
10/25/2016,13.33,4.42,4.05,3.67,4.69
10/26/2016,16.95,3.37,4.02,4.8,4.65
10/27/2016,13.82,0.35,3.99,5.94,4.6
10/28/2016,12.68,13.44,3.96,0.89,4.56
10/29/2016,12.10,1.94,3.91,4.02,4.53
10/30/2016,9.95,0.52,3.88,5.16,4.5
10/31/2016,10.68,4.5,3.84,1.63,4.48
11/1/2016,9.65,4.68,3.8,2.55,4.46
11/2/2016,8.57,0.19,3.79,4.98,4.45
11/3/2016,9.12,3.89,3.78,5.1,4.42
11/4/2016,8.87,0.96,3.77,6.36,4.4
11/5/2016,10.62,4.42,3.78,6.29,4.37
11/6/2016,9.73,1.22,3.79,4.73,4.33
11/7/2016,8.12,0.04,3.81,7.82,4.28
11/8/2016,10.07,7.1,3.83,1.03,4.22
11/9/2016,7.09,3.13,3.85,3.87,4.16
11/10/2016,6.52,3.27,3.86,1.16,4.1
11/11/2016,8.62,9.6,3.86,3.82,4.04
11/12/2016,10.22,1.07,3.85,6.19,3.99
11/13/2016,11.17,1.71,3.83,5.82,3.94
11/14/2016,11.86,6.72,3.8,2.5,3.91
11/15/2016,12.89,4.17,3.76,2.22,3.88
11/16/2016,8.28,0.7,3.71,5.78,3.87
11/17/2016,7.97,0.91,3.67,4.56,3.86
11/18/2016,9.29,4.44,3.63,5.28,3.87
11/19/2016,12.03,11.24,3.61,1.12,3.87
11/20/2016,12.87,2.41,3.6,1.8,3.88
11/21/2016,10.22,2.95,3.6,2.02,3.89
11/22/2016,11.03,2.39,3.62,4.56,3.88
11/23/2016,6.08,2.6,3.64,2.05,3.87
11/24/2016,3.44,4.91,3.68,2.73,3.85
11/25/2016,3.88,1.16,3.71,4.3,3.83
